대명칭,경도,위도
계남공원A화장실,126.8457851,37.51424265
삼성동주민센터,126.9329721,37.47015514
계남공원B화장실,126.8571163,37.51067945
난곡동주민센터,126.9216623,37.47097279
포수동공중화장실,126.919437,37.59813359
강서구민올림픽체육센터,126.8506116,37.55981653
참다래공중화장실,126.9173801,37.59540047
마곡배드민턴장,126.832546,37.57352436
연서공중화장실,126.9167863,37.60406226
마곡레포츠센터,126.8320825,37.57323081
역마을공중화장실,126.9185039,37.60112462
신사동 공영주차장,126.9154642,37.48442563
칼산교통공원화장실,126.8706024,37.51009106
사랑공중화장실,127.0602438,37.64713321
화곡지구대,126.8500159,37.55169437
산철쭉공중화장실,127.0555516,37.67033631
유광사산부인과병원,126.8388062,37.54370965
불암산관리사무실화장실,127.0832742,37.66258368
한울공원화장실,126.8325754,37.51990767
신림3동공영주차장,126.9231905,37.47229368
양지공원화장실,126.830984,37.52220372
백석공중화장실,126.8553426,37.54189045
광진구우체국,127.0906675,37.53783826
까치산공중화장실,126.8440768,37.53675213
신정6동트레일러형화장실,126.8724124,37.51154679
더와이즈황병원,126.8429748,37.54217128
새록공중화장실,126.9237022,37.60399795
대학동주민센터,126.9370164,37.47062784
연희동공중화장실,126.9186952,37.56783782
중앙동주민센터,126.9497412,37.48424708
홍제1공중화장실,126.9554558,37.58765527
참새공중화장실,127.054735,37.66608534
청룡동주민센터,126.9416662,37.47918647
동교1공중화장실,126.9260339,37.55720051
서림동주민센터,126.934965,37.47507435
송파주유소화장실,127.1443469,37.4936775
남성주유소화장실,127.1140121,37.51254497
불암산공중화장실,127.0794692,37.66197031
잠실4동주민센터,127.1122491,37.52016036
노해공중화장실,127.0711077,37.64867101
한글비공중화장실,127.0737283,37.6449368
중화리공중화장실,127.0805124,37.604121
안암동공중화장실,127.0215707,37.58530928
양재1동우면주민센터,127.0267093,37.47167439
북선공중화장실,127.0285802,37.59635012
서초3동주민센터,127.0125129,37.48362771
장위3동공중화장실,127.0524367,37.62085964
방배2동주민센터,126.9855575,37.4797582
잠원동주민센터/반포지구대관제센터,127.0140591,37.51492907
신내공원화장실,127.0891913,37.6137871
장독골공원화장실,127.0777057,37.53578103
마포소방서,126.9331782,37.54950578
잠실6동주민센터,127.1006628,37.51811913
등나무공중화장실,127.0671196,37.64012079
염리파출소,126.9456356,37.54179906
한아름공원화장실,127.0696986,37.54155217
발바닥공원화장실,127.0311865,37.65978306
"상계3,4동주민센터",127.0832914,37.67298395
구기동공중화장실,126.9564205,37.60959043
상계8동주민센터,127.0515706,37.66680232
창신동공중화장실,127.0125542,37.57842556
솔샘어린이공원화장실,127.0270601,37.61815233
옥수동주민센터,127.0134607,37.5437467
벌리어린이공원화장실,127.0444453,37.62757956
용답동주민센,127.0555733,37.56408736
오현어린이공원화장실,127.0464875,37.62373956
오륜동주민센터,127.1342962,37.51545068
장위3동주민센터,127.0566219,37.61659914
